Year;CP;Estimation_method;Estimation_method_detailed;Road;RoadCategory;Easting;Northing;Longitute;Latitude;StartJunction;EndJunction;LinkLength_miles;LinkLength_kilometres;Motorcycles;CarsTaxis;BusesCoaches;LightGoodsVehicles;AllHGVs;AllMotorVehicles;;MotorcycleCO2PerKilometer;CarsTaxisCO2PerKilometer;BusesCoachesCO2PerKilometer;LightGoodsVehiclesCO2PerKilometer;AllHGVsCO2PerKilometer;TotalEmissionsPerSection;;Rank;
2000;74307;Estimated;Estimated using previous year's AADF on this link;A90;TR;393170;800230;;;LA boundary;A956;0.43;;26.67;5117.64;21.75;672.19;509.94;6348.19;;;;;;;;;;
2000;74308;Counted;Dependent on a neighbouring counted link;A90;TR;394740;812500;;;A956;LA boundary;2.3;;114.13;9902.11;93.99;1186.57;895.39;12192.18;;;;;;;;;;
2000;74310;Estimated;Estimated using previous year's AADF on this link;A96;TR;382860;812325;;;LA Boundary;B979;0.31;;17.46;1885.28;16.33;220.68;116.46;2256.21;;;;;;;;;;
2000;74311;Estimated;Estimated using previous year's AADF on this link;A944;PR;384070;806365;;;LA boundary;B9119;0.06;;1.16;106.26;1.36;11.75;7.08;127.6;;;;;;;;;;
2000;74312;Estimated;Estimated using previous year's AADF on this link;A945;PU;394220;804670;;;A9013;A956;1.43;;138.76;8302.96;52.69;896.7;223.78;9614.89;;;;;;;;;;
2000;74313;Estimated;Estimated using previous year's AADF on this link;A956;PU;394510;805770;;;A945;A93;0.81;;65.45;5768.85;186.93;1061.43;694.05;7776.72;;;;;;;;;;
2000;74314;Estimated;Estimated using previous year's AADF on this link;A90;TU;391050;806950;;;A944;A9011;0.12;;10.02;1231.84;15.6;122.47;60.24;1440.18;;;;;;;;;;
2000;74315;Estimated;Estimated using previous year's AADF on this link;A978;PU;392440;807260;;;A944;A9011;0.37;;26.26;2149.66;36.33;149.96;17.01;2379.23;;;;;;;;;;
2000;74316;Estimated;Estimated using previous year's AADF on this link;A9011;PU;391610;807330;;;A90;A978;0.93;;15.31;3705.81;123.83;204.12;30.96;4080.03;;;;;;;;;;
2000;75459;Estimated;Estimated using previous year's AADF on this link;A96;TU;391100;809200;;;A947;A90;1.3;;128.6;13227.28;292.44;1335.49;1244.05;16227.85;;;;;;;;;;
2000;77082;Estimated;Estimated using previous year's AADF on this link;A9013;PU;392800;803800;;;A90 Stonehaven Rd;A945 Ruthrieston Rd;0.19;;3.47;712.24;11.5;58.58;90.09;875.88;;;;;;;;;;
2000;78513;Estimated;Estimated using previous year's AADF on this link;A956;PR;394220;801500;;;A90;Souter Head Rd roundabout;1.49;;52.25;6206.35;31.57;767.49;1113.14;8170.81;;;;;;;;;;
2000;78514;Estimated;Estimated from nearby links;A90;TU;393020;803350;;;Cairngorm Rd;B9077;0.19;;13.2;1755.57;7.48;233.31;97.43;2107;;;;;;;;;;
2000;78515;Estimated;Estimated using previous year's AADF on this link;A93;PU;389000;802770;;;Old Ferry Rd;A90;3.11;;46.49;13628.44;450.2;920.81;265.36;15311.3;;;;;;;;;;
2000;78516;Estimated;Estimated using previous year's AADF on this link;A944;PU;389500;806670;;;Skye Rd;Springhill Rd;0.37;;12.79;1661.4;77.43;146.56;65.73;1963.91;;;;;;;;;;
2000;78517;Estimated;Estimated from nearby links;A96;TU;389100;809800;;;Bankhead Avenue;A947;0.37;;28.3;2182.73;25.58;227.39;136.49;2600.49;;;;;;;;;;
2000;78518;Estimated;Estimated from nearby links;A947;PR;388800;813900;;;Riverview Drive;LA boundary;0.31;;15.88;1975.55;31.98;165.45;107.05;2295.9;;;;;;;;;;
2000;80026;Estimated;Estimated using previous year's AADF on this link;A93;PU;394000;805580;;;A9013;A956;0.99;;15.97;3198.07;10.52;433.64;43.91;3702.11;;;;;;;;;;
2000;80027;Estimated;Estimated using previous year's AADF on this link;A956;PU;394610;806300;;;A93;A96/A9013;0.43;;35.72;3142.5;25.56;611.54;411.51;4226.84;;;;;;;;;;
2000;80028;Estimated;Estimated using previous year's AADF on this link;A944;PR;389000;806640;;;B9119;Skye Rd;0.99;;17.42;3711.91;3.63;460.86;53.71;4247.52;;;;;;;;;;
2000;80029;Estimated;Estimated using previous year's AADF on this link;A944;PU;390000;806680;;;Springhill Rd;A90;0.75;;45.18;4469.15;82.74;517.92;78.11;5193.1;;;;;;;;;;
2000;80030;Counted;Manual count;A944;PU;392000;806800;;;A90;A978;0.93;;30.28;3663.96;59.19;286.45;93.9;4133.78;;;;;;;;;;
2000;80031;Estimated;Estimated using previous year's AADF on this link;A944;PU;393000;806910;;;A978;A96;0.93;;61.58;6468.24;152.07;880.44;112.27;7674.59;;;;;;;;;;
