,,http://www.scottishairquality.scot/data/emissions,,,,,
,,,,,,,
Year,Local Authority Area,Registered Company Name (Site Name),Site Company Name,Industry Sector,Pollutant Name,Total Emission,Return Availability
2018,Aberdeenshire,East Coast Viners Grain LLP. East Coast Viners Grain,Broadwood Drumlithie Stonehaven AB39 3XA,8(b).ii,Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,East Coast Viners Grain LLP. East Coast Viners Grain,Broadwood Drumlithie Stonehaven AB39 3XA,8(b).ii,Methane,-,Not Yet Submitted
2018,Aberdeenshire,Macduff Shipyards Ltd. Macduff Shipyards,MACDUFF SLIPWAY & SPENDING BEACH THE HARBOUR MACDUFF ,5(c),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Macduff Shipyards Ltd. Macduff Shipyards,MACDUFF SLIPWAY & SPENDING BEACH THE HARBOUR MACDUFF ,5(c),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Macduff Shipyards Ltd. Macduff Shipyards,MACDUFF SLIPWAY & SPENDING BEACH THE HARBOUR MACDUFF ,5(c),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeenshire,Macduff Shipyards Ltd. Macduff Shipyards,MACDUFF SLIPWAY & SPENDING BEACH THE HARBOUR MACDUFF ,5(c),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Macduff Shipyards Ltd. Macduff Shipyards,MACDUFF SLIPWAY & SPENDING BEACH THE HARBOUR MACDUFF ,5(c),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeenshire,Inverurie Skip Hire Limited. Causewayfold Meikle Wartle Inverurie,CAUSEWAYFOLD MEIKLE WARTLE OLDMELDRUM INVERURIE AB51 5AU,5(a),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Inverurie Skip Hire Limited. Causewayfold Meikle Wartle Inverurie,CAUSEWAYFOLD MEIKLE WARTLE OLDMELDRUM INVERURIE AB51 5AU,5(a),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Inverurie Skip Hire Limited. Causewayfold Meikle Wartle Inverurie,CAUSEWAYFOLD MEIKLE WARTLE OLDMELDRUM INVERURIE AB51 5AU,5(a),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeenshire,Inverurie Skip Hire Limited. Causewayfold Meikle Wartle Inverurie,CAUSEWAYFOLD MEIKLE WARTLE OLDMELDRUM INVERURIE AB51 5AU,5(a),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Inverurie Skip Hire Limited. Causewayfold Meikle Wartle Inverurie,CAUSEWAYFOLD MEIKLE WARTLE OLDMELDRUM INVERURIE AB51 5AU,5(a),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeenshire,Inverurie Skip Hire Limited. Causewayfold Meikle Wartle Inverurie,CAUSEWAYFOLD MEIKLE WARTLE OLDMELDRUM INVERURIE AB51 5AU,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeenshire,Powar Developments Ltd. MBM Warehouse Fordoun Laurencekirk,FORDOUN FORDOUN LAURENCEKIRK AB30 1NN,5(c),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Powar Developments Ltd. MBM Warehouse Fordoun Laurencekirk,FORDOUN FORDOUN LAURENCEKIRK AB30 1NN,5(c),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Powar Developments Ltd. MBM Warehouse Fordoun Laurencekirk,FORDOUN FORDOUN LAURENCEKIRK AB30 1NN,5(c),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeenshire,Powar Developments Ltd. MBM Warehouse Fordoun Laurencekirk,FORDOUN FORDOUN LAURENCEKIRK AB30 1NN,5(c),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Powar Developments Ltd. MBM Warehouse Fordoun Laurencekirk,FORDOUN FORDOUN LAURENCEKIRK AB30 1NN,5(c),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeenshire,Alisrose Limited. Alisrose North Base Keith Inch Peterhead,ALISROSE NORTH BASE KEITH INSCH PETERHEAD ,5(c),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Alisrose Limited. Alisrose North Base Keith Inch Peterhead,ALISROSE NORTH BASE KEITH INSCH PETERHEAD ,5(c),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Alisrose Limited. Alisrose North Base Keith Inch Peterhead,ALISROSE NORTH BASE KEITH INSCH PETERHEAD ,5(c),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeenshire,Alisrose Limited. Alisrose North Base Keith Inch Peterhead,ALISROSE NORTH BASE KEITH INSCH PETERHEAD ,5(c),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Alisrose Limited. Alisrose North Base Keith Inch Peterhead,ALISROSE NORTH BASE KEITH INSCH PETERHEAD ,5(c),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Crows Nest Recycling Centre Banchory,Crows Nest Recycling Centre Banchory AB31 4TQ,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Redcloak Farm Stonehaven,Redcloak Farm Stonehaven AB39 3SS,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Steven Road Transfer Station,Steven Road Huntly ,5(c),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Steven Road Transfer Station,Steven Road Huntly ,5(c),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Steven Road Transfer Station,Steven Road Huntly ,5(c),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Steven Road Transfer Station,Steven Road Huntly ,5(c),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Steven Road Transfer Station,Steven Road Huntly ,5(c),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeenshire,Northburn Oils Limited. Northburn Oils Ltd Aberdeen,NORTHBURN OILS LIMITED BLACKDOG CENTRE BRIDGE OF DON ABERDEEN AB23 8BT,5(a),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeenshire,Northburn Oils Limited. Northburn Oils Ltd Aberdeen,NORTHBURN OILS LIMITED BLACKDOG CENTRE BRIDGE OF DON ABERDEEN AB23 8BT,5(a),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Northburn Oils Limited. Northburn Oils Ltd Aberdeen,NORTHBURN OILS LIMITED BLACKDOG CENTRE BRIDGE OF DON ABERDEEN AB23 8BT,5(a),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Northburn Oils Limited. Northburn Oils Ltd Aberdeen,NORTHBURN OILS LIMITED BLACKDOG CENTRE BRIDGE OF DON ABERDEEN AB23 8BT,5(a),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeenshire,Northburn Oils Limited. Northburn Oils Ltd Aberdeen,NORTHBURN OILS LIMITED BLACKDOG CENTRE BRIDGE OF DON ABERDEEN AB23 8BT,5(a),Methane,-,Not Yet Submitted
2018,Aberdeenshire,ABERDEENSHIRE COUNCIL. Ellon Waste Transfer Station Ellon,Ellon Waste Transfer Station Balmacassie Ellon ,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeenshire,Northburn Oils Limited. Northburn Oils Ltd Aberdeen,NORTHBURN OILS LIMITED BLACKDOG CENTRE BRIDGE OF DON ABERDEEN AB23 8BT,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeen City,SITA North East Limited. East Tullos Refuse Treatment Plant Aberdeen,EAST TULLOS REFUSE TREATMENT PLANT Greenbank Crescent East Tullos Aberdeen ,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeen City,SITA North East Limited. Sclatti Quarry Treatment Plant  Bucksburn,SCLATTI REFUSE TREATMENT PLANT BANKHEAD INDUSTRIAL ESTATE BUCKSBURN Aberdeen ,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeenshire,William Nicol (Aberdeen) Limited. Wm Nicol (Aberdeen) Limited,Badentoy Crescent Badentoy Industrial Park Portlethen Aberdeen AB12 4YT,5(a),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,William Nicol (Aberdeen) Limited. Wm Nicol (Aberdeen) Limited,Badentoy Crescent Badentoy Industrial Park Portlethen Aberdeen AB12 4YT,5(a),Methane,-,Not Yet Submitted
2018,Aberdeenshire,John Rennie & Sons (Farmers) Limited. Biogask Gask Turriff AB53 8BP,Biogask Gask Turriff AB53 8BP,5(e),Carbon dioxide,-,Not Yet Submitted
